pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
129.13,-104.02,0.0,bottom,C1,,,C_0603_1608Metric,4.7u,smt
132.1,-104.04,180.0,bottom,C2,,,C_0603_1608Metric,4.7u,smt
131.85,-112.8,0.0,bottom,C3,,,C_0402_1005Metric,1n,smt
125.85,-103.35,180.0,bottom,J3,,,PinHeader_1x01_P2.54mm_Vertical,+5V3,tht
125.9,-113.65,90.0,bottom,J4,,,PinHeader_1x01_P2.54mm_Vertical,-V,tht
136.15,-103.35,-90.0,bottom,J5,,,PinHeader_1x01_P2.54mm_Vertical,Support Pin,tht
136.15,-113.65,180.0,bottom,J6,,,PinHeader_1x01_P2.54mm_Vertical,Support Pin,tht
129.4,-112.5,180.0,bottom,R1,,,R_0603_1608Metric,10k,smt
131.6,-114.0,0.0,bottom,R2,,,R_0603_1608Metric,33k,smt
132.11,-105.52,180.0,bottom,R3,,,R_0603_1608Metric,1Ω,smt
129.15,-105.52,180.0,bottom,R4,,,R_0603_1608Metric,3Ω,smt
129.55,-108.98,180.0,bottom,U1,,,SOIC-8_3.9x4.9mm_P1.27mm,LP2951CDR2G,smt
